"TrialID","Date","Scientific title","Intervention","Country","Size","Drugs","isRandomized","isCombination","isDrugTrial"
"NCT04246242","2020-01-27","A Randomized Multicenter Controlled Clinical Trial of Arbidol in Patients With 2019 Novel Coronavirus (2019-nCoV)","Drug: Conventional treatment group;Drug: arbidol,200mg,tid;Drug: arbidol,400mg,tid",NA,500,"arbidol",TRUE,FALSE,TRUE
"NCT04255940","2020-02-03","Impact of a Novel Coronavirus (2019-nCoV) Outbreak on Public Anxiety and Cardiovascular Disease Risk in China",NA,"China",12000,NA,FALSE,FALSE,FALSE
"NCT04260308","2020-02-03","A Survey of Psychological Status of Medical Workers and Residents in the Context of 2019 Novel Coronavirus Pneumonia in Wuhan, China",NA,"China",30000,NA,FALSE,FALSE,FALSE
"NCT04260594","2020-02-06","Randomized, Open, Multicenter Study on the Efficacy and Safety of Arbidol Hydrochloride Tablets in Treating Pneumonia in Patients Infected With Novel Coronavirus (2019-ncov).","Drug: Arbidol;Other: basic treatment",NA,380,"arbidol",TRUE,FALSE,TRUE
"NCT04261426","2020-02-06","A Randomized, Open-label, Controlled, Single-center Study to Evaluate the Efficacy of Intravenous Immunoglobulin Therapy in Patients With Severe 2019- nCoV Pneumonia","Drug: Intravenous Immunoglobulin;Other: Standard care",NA,80,"immunoglobulin",TRUE,TRUE,TRUE
"NCT04261907","2020-02-06","A Randomized, Open-label, Multi-centre Clinical Trial Evaluating and Comparing the Safety and Efficiency of ASC09/Ritonavir and Lopinavir/Ritonavir for Confirmed Cases of Pneumonia Caused by Novel Coronavirus Infection","Drug: ASC09/ritonavir group;Drug: lopinavir/ritonavir group",NA,160,"asc09, lopinavir, ritonavir",TRUE,TRUE,TRUE
"ChiCTR2000029953","2020-02-17","Construction and Analysis of Prognostic Predictive Model of Novel Coronavirus Pneumonia (COVID-19)","survival group:none;died:none;","China",400,NA,FALSE,FALSE,FALSE
"ChiCTR2000029949","2020-02-16","A Medical Records Based Study for the Effectiveness of Extracorporeal Membrane Oxygenation in Patients with Severe Novel Coronavirus Pneumonia (COVID-19)","Case series:Extracorporeal Membrane Oxygenation;","China",40,NA,FALSE,FALSE,FALSE
"ChiCTR2000029947","2020-02-16","A Randomized Controlled Trial for Qingyi No. 4 Compound in the treatment of Convalescence Patients of Novel Coronavirus Pneumonia (COVID-19)","experimental group :Traditional Chinese medicine compound granules + western medicine symptomatic treatment;control group :western medicine symptomatic treatment  ;","China",200,NA,FALSE,FALSE,FALSE
"ChiCTR2000029941","2020-02-16","A randomized controlled trial for Traditional Chinese Medicine in the treatment for Novel Coronavirus Pneumonia (COVID-19)","experimental group :Traditional Chinese medicine compound granules + western medicine symptomatic treatment ;control group:western medicine symptomatic treatment ;","China",200,NA,FALSE,FALSE,FALSE
"ChiCTR2000029939","2020-02-16","A Single-blind, Randomized, Controlled Clinical Trial for Chloroquine Phosphate in the treatment of Novel Coronavirus Pneumonia 2019 (COVID-19)","Conventional treatment group:The conventional treatment group will be treated according to the guidance of the “Diagnosis and Treatment Scheme of COVID-19” published by the National Health Commission.;Experimental group:conventional treatment combined with Chloroquine Phosphate.;","China",100,"chloroquine",FALSE,FALSE,TRUE
"ChiCTR2000029935","2020-02-16","A Single-arm Clinical Trial for Chloroquine Phosphate in the treatment of Novel Coronavirus Pneumonia 2019 (COVID-19)","Case series:Treated with conventional treatment combined with Chloroquine Phosphate;","China",100,"chloroquine",FALSE,FALSE,TRUE
"ChiCTR2000029907","2020-02-16","Study for construction and assessment of early warning score of the clinical risk of novel coronavirus (COVID-19) infected patients","Case series:Nil;","China",1000,NA,FALSE,FALSE,FALSE
"ChiCTR2000029905","2020-02-16","Co-infection of novel coronavirus pneumonia (COVID-19) and influenza virus: a single-center, two-phase, observational study","Case series:Nil;","China",271,NA,FALSE,FALSE,FALSE
"ChiCTR2000029896","2020-02-16","Evaluate the effectiveness of Traditional Chinese medicine in the treatment of novel coronavirus pneumonia (COVID-19)","Case series:Prescription based on syndrome differentiation of TCM and Routine treatment of Western Medicine;","China",100,NA,FALSE,FALSE,FALSE
"ChiCTR2000029883","2020-02-16","A comparative study on the sensitivity of nasopharyngeal and oropharyngeal swabbing for the detection of SARS-CoV-2 by real-time PCR","Gold Standard:The suspected patient is confirmed by any of the following etiological evidence: <br>1. Real-time RT-PCR of respiratory tract or blood samples was positive for the SARS-CoV-2; <br>2. Gene sequencing of respiratory or blood samples is highly homologous with SARS-CoV-2.;Index test:SARS-CoV-2&#32;nucleic&#32;acid&#32;test:&#32;1.&#32;nasopharyngeal&#32;samples;&#32;2.&#32;oropharyngeal&#32;samples;","China",200,NA,FALSE,FALSE,FALSE
